TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"575643","YuGiOh","2003 Collectors Tin","Blue-Eyes White Dragon","","BPT-009","Secret Rare","Moderately Played Unlimited","10.72","","12.0300","10.7200","0","0","7.5200",""
"666004","YuGiOh","2004 Collectors Tin","Blade Knight","","CT1-EN002","Secret Rare","Lightly Played Limited","13.63","116.70","15.6500","14.6600","0","0","8.3700",""
"682435","YuGiOh","2004 Collectors Tin","Insect Queen","","CT1-EN005","Secret Rare","Near Mint Limited","6.37","49.98","4.8200","3.5100","0","0","8.0500",""
"649579","YuGiOh","2004 Collectors Tin","Insect Queen","","CT1-EN005","Secret Rare","Damaged Limited","0.93","","2.3100","1.0000","0","0","1.3000",""
"674224","YuGiOh","2005 Collectors Tin","Exarion Universe","","CT2-EN002","Secret Rare","Moderately Played Limited","0.88","","2.0600","0.7500","0","0","0.9200",""
"657795","YuGiOh","2005 Collectors Tin","Gilford the Lightning","","CT2-EN001","Secret Rare","Heavily Played Limited","1.91","","3.0800","1.7700","0","0","1.8500",""
"657799","YuGiOh","2005 Collectors Tin","Rocket Warrior","","CT2-EN005","Secret Rare","Heavily Played Limited","2.13","","3.0100","1.7000","0","0","2.2200",""
"1171476","YuGiOh","2006 Collectors Tin","Hamon, Lord of Striking Thunder","","CT03-EN006","Secret Rare","Lightly Played Limited","2.91","49.98","3.7900","2.4800","0","0","2.8200",""
"657803","YuGiOh","2006 Collectors Tin","Raviel, Lord of Phantasms","","CT03-EN003","Secret Rare","Heavily Played Limited","0.83","","2.1200","0.8100","0","0","0.6700",""
"1226199","YuGiOh","2006 Collectors Tin","Uria, Lord of Searing Flames","","CT03-EN005","Secret Rare","Heavily Played Limited","1.04","","2.4000","1.0900","1","0","1.1000",""
"657812","YuGiOh","2008 Collectors Tin","Black Rose Dragon","","CT05-EN003","Secret Rare","Heavily Played Limited","1.84","","3.0900","1.0000","1","0","5.3900",""
